Название,Категория,Цена,Ссылка
 Пылесос Deerma VC20 plus белый,,"
																							6 990р.																																",http://nix.dn.ua/bitovaja-tehnika?product_id=200677
 Робот - мойщик окон DBOT W100,,"
																							9 990р.																																",http://nix.dn.ua/bitovaja-tehnika/-robot---mojshhik-okon-dbot-w100
 Робот-пылесос XIAOMI Mi Robot Vacuum Mop Essential  (25вт),,"
																							18 500р.																																",http://nix.dn.ua/bitovaja-tehnika?product_id=200676
Чистящее средство Defender (CLN 30320); 100 шт.,,"
																							150р.																																",http://nix.dn.ua/rashodnie-materiali/chistyashee-sredstvo-defender-cln-30320-100-sht
Чистящее средство Спрей для ЖК-экранов Konoos KW-100; 100 ml,,"
																							150р.																																",http://nix.dn.ua/rashodnie-materiali/chistyashee-sredstvo-sprej-dlya-zhk-ekranov-konoos-kw-100-100-ml
Чистящее средство Спрей для  LCD&TFT мониторов; Perfeo; 250 ml (PF-S/SC-250),,"
																							200р.																																",http://nix.dn.ua/rashodnie-materiali/chistyashee-sredstvo-sprej-dlya-lcdtft-monitorov-perfeo-250-ml-pf-ssc-250
Чистящее средство Чистящий набор для всех типов экранов Konoos KT-200; (Чистящий спрей 200 мл. + салфетка).,,"
																							200р.																																",http://nix.dn.ua/rashodnie-materiali/chistyashee-sredstvo-chistyashij-nabor-dlya-vseh-tipov-ekranov-konoos-kt-200-chistyashij-sprej-200-ml-salfetka
Влажные чистящие салфетки для  LCD мониторов Defender (CLN 30322); 100 шт.,,"
																							200р.																																",http://nix.dn.ua/rashodnie-materiali/vlazhnye-chistyashie-salfetki-dlya-lcd-monitorov-defender-cln-30322-100-sht
Чистящее средство Perfeo; для  всех типов экранов (PF-T/SCDW-50/50); 100 шт.(50 сухих и 50 влажных),,"
																							200р.																																",http://nix.dn.ua/rashodnie-materiali/chistyashee-sredstvo-perfeo-dlya-vseh-tipov-ekranov-pf-tscdw-5050-100-sht50-suhih-i-50-vlazhnyh
Чистящее средство Perfeo (спрей+салфетка из микрофибры) (PF-S+T/MFSL),,"
																							200р.																																",http://nix.dn.ua/rashodnie-materiali/chistyashee-sredstvo-perfeo-sprejsalfetka-iz-mikrofibry-pf-stmfsl
"Чистящее средство Perfeo ""Screen Clean"" туба с чистящими салфетками для монитора (PF-T/SC-100), 100 шт.",,"
																							200р.																																",http://nix.dn.ua/rashodnie-materiali/chistyashee-sredstvo-perfeo-screen-clean-tuba-s-chistyashimi-salfetkami-dlya-monitora-pf-tsc-100-100-sht
"Чистящее средство Влажные чистящие салфетки ""Perfeo"" (PF-T/SCPC-50/50) ",,"
																							200р.																																",http://nix.dn.ua/rashodnie-materiali/chistyashee-sredstvo-vlazhnye-chistyashie-salfetki-perfeo-pf-tscpc-5050
Чистящее средство Чистящий набор для всех типов экранов Defender CLN 30598; (Чистящий спрей 200 мл. + салфетка).,,"
																							200р.																																",http://nix.dn.ua/rashodnie-materiali/chistyashee-sredstvo-chistyashij-nabor-dlya-vseh-tipov-ekranov-defender-cln-30598-chistyashij-sprej-200-ml-salfetka
